rid,tpl,pta,ptd,wta,wtp,wtd,arr_et,arr_wet,arr_atRemoved,pass_et,pass_wet,pass_atRemoved,dep_et,dep_wet,dep_atRemoved,arr_at,pass_at,dep_at,cr_code,lr_code
202004128152486,WATRLMN,,08:35,,,08:35,,,,,,,,,false,,,08:34,,
202004128152486,VAUXHLM,,,,08:37,,,,,,,false,,,,,08:37,,,
202004128152486,CLPHMJM,,08:45,08:44,,08:45,,,false,,,,,,false,08:42,,08:45,,
202004128152486,ERLFLD,,,,08:48,,,,,08:47,,false,,,,,,,,
202004128152486,WDON,,,,08:52,,,,,,,false,,,,,08:48,,,
202004128152486,RAYNSPK,,,,08:53,,,,,08:49,,false,,,,,,,,
202004128152486,NEWMLDN,,,,08:55,,,,,,,false,,,,,08:51,,,
202004128152486,SURBITN,,,,08:57,,,,,,,false,,,,,08:51,,,
202004128152486,BRLANDS,,,,08:56,,,,,,,false,,,,,08:51,,,
202004128152486,HCRTJN,,,,08:58:30,,,,,,,false,,,,,08:52,,,
202004128152486,ESHER,,,,08:59,,,,,,,false,,,,,08:53,,,
202004128152486,HERSHAM,,,,09:00,,,,,,,false,,,,,08:55,,,
202004128152486,WONT,,,,09:01,,,,,,,false,,,,,08:55,,,
202004128152486,WEYBDGE,,,,09:03:30,,,,,,,false,,,,,08:58,,,
202004128152486,BYFLANH,,,,09:04,,,,,08:58,,false,,,,,,,,
202004128152486,WBYFLET,,,,09:05,,,,,,,false,,,,,08:59,,,
202004128152486,WOKING,09:08,09:09,09:08,,09:09:30,,,false,,,,,,false,09:04,,09:08,,
202004128152486,WOKINGJ,,,,09:10:30,,,,,,,false,,,,,09:09,,,
202004128152486,FRBRMN,,,,09:17,,,,,,,false,,,,,09:15,,,
202004128152486,FLEET,,,,09:19,,,,,,,false,,,,,09:17,,,
202004128152486,WNCFILD,,,,09:21,,,,,,,false,,,,,09:19,,,
202004128152486,HOOK,,,,09:23,,,,,,,false,,,,,09:21,,,
202004128152486,BSNGSTK,09:28,09:29,09:27:30,,09:29:30,,,false,,,,,,false,09:26,,09:28,,
202004128152486,WRTINGJ,,,,09:33,,,,,,,false,,,,,09:32,,,
202004128152486,MCHLDVR,,,,09:39,,,,,,,false,,,,,09:38,,,
202004128152486,WALRSAL,,,,09:41,,,,,09:40,,false,,,,,,,,
202004128152486,WNCHSTR,09:45,09:46,09:44:30,,09:46,,,false,,,,,,false,09:44,,09:45,,
202004128152486,SHAWFDJ,,,,09:49,,,,,09:48,,false,,,,,,,,
202004128152486,SHAWFD,,,,09:49:30,,,,,,,false,,,,,09:49,,,
202004128152486,ELGH,,,,09:52,,,,,,,false,,,,,09:51,,,
202004128152486,SOTPKWY,09:54,09:55,09:53:30,,09:55,,,false,,,,,,false,09:54,,09:55,,
202004128152486,SWYTHLN,,,,09:56,,,,,,,false,,,,,09:56,,,
202004128152486,STDENYS,,,,09:58,,,,,,,false,,,,,09:58,,,
202004128152486,NTHMJN,,,,09:59,,,,,,,false,,,,,09:59,,,
202004128152486,SOTON,10:02,10:03,10:01:30,,10:03:30,,,false,,,,,,false,10:01,,10:02,,
202004128152486,REDBDGE,,,,10:07,,,,,,,false,,,,,10:06,,,
202004128152486,TOTTON,,,,10:07:30,,,,,,,false,,,,,10:08,,,
202004128152486,LYNDHRD,,,,10:10,,,,,,,false,,,,,10:11,,,
202004128152486,BLIEURD,,,,10:12,,,,,,,false,,,,,10:14,,,
202004128152486,BKNHRST,10:17,10:18,10:16:30,,10:18,,,false,,,,,,false,10:18,,10:19,,
202004128152486,SWAY,,,,10:20,,,,,,,false,,,,,10:22,,,
202004128152486,NMILTON,10:24,10:25,10:24,,10:25,,,false,,,,,,false,10:25,,10:25,,
202004128152486,HINTONA,,,,10:27,,,,,,,false,,,,,10:27,,,
202004128152486,CHRISTC,,,,10:30,,,,,,,false,,,,,10:30,,,
202004128152486,BOMO,10:35,10:39,10:34:30,,10:39,,,false,,,,,,false,10:35,,10:38,,
202004128152486,BRANKSM,10:44,10:44,10:43:30,,10:44,,,false,,,,,,false,10:43,,10:44,,
202004128152486,PSTONE,10:47,10:47,10:46:30,,10:47,,,false,,,,,,false,10:46,,10:47,,
202004128152486,POOLE,10:50,10:51,10:50,,10:51:30,,,false,,,,,,false,10:50,,10:52,,
202004128152486,HMWTHY,10:56,10:56,10:55:30,,10:56:30,,,false,,,,,,false,10:55,,10:56,,
202004128152486,HOLTONH,,,,10:59,,,,,,,false,,,,,10:59,,,
202004128152486,WARHAM,11:02,11:03,11:02,,11:03:30,,,false,,,,,,false,11:01,,11:02,,
202004128152486,WOOL,11:09,11:10,11:09,,11:10,,,false,,,,,,false,11:07,,11:09,,
202004128152486,MORETON,11:16,11:16,11:15:30,,11:16:30,,,false,,,,,,false,11:13,,11:14,,
202004128152486,DRCHS,11:23,11:24,11:23,,11:24:30,,,false,,,,,,false,11:21,,11:23,,
202004128152486,DRCHJN,,,,11:25:30,,,,,11:24,,false,,,,,,,,
202004128152486,UPWEY,11:31,11:31,11:30:30,,11:31,,,false,,,,,,false,11:30,,11:30,,
202004128152486,WEYMTH,11:35,,11:35,,,,,false,,,,,,,11:33,,,,
202004128152488,WATRLMN,,12:35,,,12:35,,,,,,,,,false,,,12:34,,
202004128152488,VAUXHLM,,,,12:37,,,,,,,false,,,,,12:37,,,
202004128152488,CLPHMJM,,12:45,12:44,,12:45,,,false,,,,,,false,12:41,,12:41,,
202004128152488,ERLFLD,,,,12:48,,,,,12:43,,false,,,,,,,,
202004128152488,WDON,,,,12:52,,,,,,,false,,,,,12:45,,,
202004128152488,WDONWJ,,,,12:53,,,,,12:46,,false,,,,,,,,
202004128152488,NEWMLDN,,,,12:55:30,,,,,,,false,,,,,12:47,,,
202004128152488,BRLANDS,,,,12:56,,,,,,,false,,,,,12:47,,,
202004128152488,SURBITN,,,,12:57:30,,,,,,,false,,,,,12:48,,,
202004128152488,HCRTJN,,,,12:58:30,,,,,,,false,,,,,12:49,,,
202004128152488,ESHER,,,,12:59,,,,,,,false,,,,,12:50,,,
202004128152488,HERSHAM,,,,13:00,,,,,,,false,,,,,12:51,,,
202004128152488,WONT,,,,13:01,,,,,,,false,,,,,12:52,,,
202004128152488,WEYBDGE,,,,13:02,,,,,,,false,,,,,12:53,,,
202004128152488,BYFLANH,,,,13:03,,,,,12:54,,false,,,,,,,,
202004128152488,WBYFLET,,,,13:04,,,,,,,false,,,,,12:54,,,
202004128152488,WOKING,13:07,13:08,13:07,,13:08:30,,,false,,,,,,false,12:58,,13:07,,
202004128152488,WOKINGJ,,,,13:09:30,,,,,,,false,,,,,13:08,,,
202004128152488,FRBRMN,,,,13:15:30,,,,,,,false,,,,,13:14,,,
202004128152488,FLEET,,,,13:17,,,,,,,false,,,,,13:17,,,
202004128152488,WNCFILD,,,,13:20,,,,,,,false,,,,,13:18,,,
202004128152488,HOOK,,,,13:21,,,,,,,false,,,,,13:20,,,
202004128152488,BSNGSTK,13:26,13:28,13:26,,13:28,,,false,,,,,,false,13:25,,13:27,,
202004128152488,WRTINGJ,,,,13:31:30,,,,,,,false,,,,,13:31,,,
202004128152488,MCHLDVR,,,,13:37,,,,,,,false,,,,,13:37,,,
202004128152488,WALRSAL,,,,13:39:30,,,,,13:40,,false,,,,,,,,
202004128152488,WNCHSTR,13:43,13:44,13:43,,13:44:30,,,false,,,,,,false,13:43,,13:44,,
202004128152488,SHAWFDJ,,,,13:47:30,,,,,13:47,,false,,,,,,,,
202004128152488,SHAWFD,,,,13:48,,,,,,,false,,,,,13:47,,,
202004128152488,ELGH,,,,13:50:30,,,,,,,false,,,,,13:49,,,
202004128152488,SOTPKWY,13:52,13:53,13:52,,13:53:30,,,false,,,,,,false,13:53,,13:54,,
202004128152488,SWYTHLN,,,,13:54,,,,,,,false,,,,,13:55,,,
202004128152488,STDENYS,,,,13:56:30,,,,,,,false,,,,,13:57,,,
202004128152488,NTHMJN,,,,13:57:30,,,,,,,false,,,,,13:58,,,
202004128152488,SOTON,14:00,14:03,14:00,,14:03,,,false,,,,,,false,14:00,,14:02,,
202004128152488,REDBDGE,,,,14:06:30,,,,,,,false,,,,,14:06,,,
202004128152488,TOTTON,,,,14:07,,,,,,,false,,,,,14:07,,,
202004128152488,LYNDHRD,,,,14:09,,,,,,,false,,,,,14:10,,,
202004128152488,BLIEURD,,,,14:11,,,,,,,false,,,,,14:11,,,
