rid,tpl,pta,ptd,wta,wtp,wtd,arr_et,arr_wet,arr_atRemoved,pass_et,pass_wet,pass_atRemoved,dep_et,dep_wet,dep_atRemoved,arr_at,pass_at,dep_at,cr_code,lr_code
202008028174124,WATRLMN,,07:54,,,07:54,,,,,,,,,false,,,07:53,,824
202008028174124,VAUXHLM,,,,07:56,,,,,,,false,,,,,07:56,,,824
202008028174124,CLPHMJM,,08:02,08:01,,08:02,,,false,,,,,,false,08:01,,08:03,,824
202008028174124,ERLFLD,,,,08:05,,,,,08:05,,false,,,,,,,,824
202008028174124,WDON,,,,08:08:30,,,,,,,false,,,,,08:07,,,824
202008028174124,RAYNSPK,,,,08:10,,,,,08:08,,false,,,,,,,,824
202008028174124,NEWMLDN,,,,08:11:30,,,,,,,false,,,,,08:09,,,824
202008028174124,SURBITN,,,,08:13:30,,,,,,,false,,,,,08:10,,,824
202008028174124,BRLANDS,,,,08:12,,,,,,,false,,,,,08:10,,,824
202008028174124,HCRTJN,,,,08:15,,,,,,,false,,,,,08:12,,,824
202008028174124,ESHER,,,,08:16,,,,,,,false,,,,,08:13,,,824
202008028174124,HERSHAM,,,,08:18,,,,,,,false,,,,,08:14,,,824
202008028174124,WONT,,,,08:19,,,,,,,false,,,,,08:16,,,824
202008028174124,WEYBDGE,,,,08:22:30,,,,,,,false,,,,,08:20,,,824
202008028174124,BYFLANH,,,,08:23,,,,,08:21,,false,,,,,,,,824
202008028174124,WBYFLET,,,,08:24,,,,,,,false,,,,,08:22,,,824
202008028174124,WOKING,08:27,08:29,08:27,,08:29,,,false,,,,,,false,08:26,,08:28,,824
202008028174124,WOKINGJ,,,,08:30,,,,,,,false,,,,,08:29,,,824
202008028174124,WRPLSDN,,,,08:32,,,,,,,false,,,,,08:32,,,824
202008028174124,GUILDFD,08:36,08:38,08:36,,08:38,,,false,,,,,,false,08:35,,08:38,,824
202008028174124,SHALFDJ,,,,08:40,,,,,,,false,,,,,08:39,,,824
202008028174124,FRNCMB,,,,08:42,,,,,,,false,,,,,08:41,,,824
202008028174124,GDLMING,,,,08:42:30,,,,,,,false,,,,,08:43,,,824
202008028174124,MLFORD,,,,08:44,,,,,,,false,,,,,08:44,,,824
202008028174124,WITLEY,,,,08:46,,,,,,,false,,,,,08:46,,,824
202008028174124,HASLEMR,,,,08:51,,,,,,,false,,,,,08:50,,,824
202008028174124,LIPHOOK,,,,08:53,,,,,,,false,,,,,08:52,,,824
202008028174124,LISS,,,,08:57,,,,,,,false,,,,,08:55,,,824
202008028174124,PTRSFLD,,,,09:00,,,,,,,false,,,,,08:58,,,824
202008028174124,RWLNDSC,,,,09:09,,,,,,,false,,,,,09:05,,,824
202008028174124,HAVANT,09:14,09:15,09:13:30,,09:15:30,,,false,,,,,,false,09:08,,09:14,,824
202008028174124,BDHMPTN,,,,09:16,,,,,,,false,,,,,09:16,,,824
202008028174124,FRLNGTJ,,,,09:19:30,,,,,,,false,,,,,09:18,,,824
202008028174124,COSHAMJ,,,,09:24:30,,,,,,,false,,,,,09:21,,,824
202008028174124,COSHAM,,,,09:26:30,,,,,,,false,,,,,09:25,,,824
202008028174124,PCHESTR,,,,09:30,,,,,,,false,,,,,09:29,,,824
202008028174124,FAREHAM,09:35,09:37,09:35,,09:37:30,,,false,,,,,,false,09:34,,09:37,,824
202008028174124,SWNWICK,,,,09:54,,,,,,,false,,,,,09:42,,,824
202008028174124,BURSLDN,,,,09:54:30,,,,,,,false,,,,,09:44,,,824
202008028174124,HMBLE,,,,09:55,,,,,,,false,,,,,09:46,,,824
202008028174124,NETLEY,,,,09:55:30,,,,,,,false,,,,,09:47,,,824
202008028174124,SHOLING,,,,09:55,,,,,,,false,,,,,09:50,,,824
202008028174124,WOLSTON,,,,09:55:30,,,,,,,false,,,,,09:51,,,824
202008028174124,BITERNE,,,,09:56,,,,,,,false,,,,,09:54,,,824
202008028174124,STDENYS,,,,09:56:30,,,,,,,false,,,,,09:55,,,824
202008028174124,NTHMJN,,,,09:57:30,,,,,,,false,,,,,09:57,,,824
202008028174124,SOTON,10:00,10:03,10:00,,10:03:30,,,false,,,,,,false,09:59,,10:02,,824
202008028174124,MBRKCLJ,,,,10:05:30,,,,,10:04,,false,,,,,,,,824
202008028174124,REDBDGE,,,,10:07,,,,,,,false,,,,,10:06,,,824
202008028174124,TOTTON,,,,10:07:30,,,,,,,false,,,,,10:07,,,824
202008028174124,LYNDHRD,,,,10:10,,,,,,,false,,,,,10:10,,,824
202008028174124,BLIEURD,,,,10:12,,,,,,,false,,,,,10:11,,,824
202008028174124,BKNHRST,10:17,10:18,10:16:30,,10:18,,,false,,,,,,false,10:15,,10:17,,824
202008028174124,SWAY,,,,10:20,,,,,,,false,,,,,10:21,,,824
202008028174124,NMILTON,10:24,10:25,10:24,,10:25,,,false,,,,,,false,10:23,,10:24,,824
202008028174124,HINTONA,,,,10:27,,,,,,,false,,,,,10:27,,,824
202008028174124,CHRISTC,,,,10:30,,,,,,,false,,,,,10:30,,,824
202008028174124,BOMO,10:35,10:39,10:34:30,,10:39,,,false,,,,,,false,10:34,,10:39,,824
202008028174124,BRANKSM,10:44,10:44,10:43:30,,10:44,,,false,,,,,,false,10:44,,10:44,,824
202008028174124,PSTONE,10:47,10:47,10:46:30,,10:47,,,false,,,,,,false,10:47,,10:48,,824
202008028174124,POOLE,10:50,10:51,10:50,,10:51:30,,,false,,,,,,false,10:51,,10:53,,824
202008028174124,HMWTHY,10:56,10:56,10:55:30,,10:56:30,,,false,,,,,,false,10:56,,10:58,,824
202008028174124,HOLTONH,,,,10:59,,,,,,,false,,,,,11:01,,,824
202008028174124,WARHAM,11:02,11:03,11:02,,11:03:30,,,false,,,,,,false,11:03,,11:04,,824
202008028174124,WOOL,11:09,11:10,11:09,,11:10,,,false,,,,,,false,11:09,,11:10,,824
202008028174124,MORETON,11:16,11:16,11:15:30,,11:16:30,,,false,,,,,,false,11:14,,11:15,,824
202008028174124,DRCHS,11:23,11:24,11:23,,11:24:30,,,false,,,,,,false,11:23,,11:24,,824
202008028174124,DRCHJN,,,,11:25:30,,,,,11:25,,false,,,,,,,,824
202008028174124,UPWEY,11:31,11:31,11:30:30,,11:31,,,false,,,,,,false,11:30,,11:32,,824
202008028174124,WEYMTH,11:35,,11:35,,,,,false,,,,,,,11:34,,,,824
202008028174126,WATRLMN,,11:54,,,11:54,,,,,,,,,false,,,11:53,,
202008028174126,VAUXHLM,,,,11:56,,,,,,,false,,,,,11:56,,,
202008028174126,NINELMJ,,,,11:58,,,,,,,false,,,,,11:57,,,
202008028174126,QTRDBAT,,,,11:59:30,,,,,,,false,,,,,11:59,,,
202008028174126,CLPHMJM,,12:03,12:02:30,,12:03:30,,,false,,,,,,false,12:02,,12:03,,
202008028174126,ERLFLD,,,,12:06,,,,,,,false,,,,,12:06,,,
202008028174126,WDON,,,,12:10,,,,,,,false,,,,,12:08,,,
202008028174126,WDONWJ,,,,12:11,,,,,12:09,,false,,,,,,,,
202008028174126,NEWMLDN,,,,12:13:30,,,,,,,false,,,,,12:11,,,
