rid,tpl,pta,ptd,wta,wtp,wtd,arr_et,arr_wet,arr_atRemoved,pass_et,pass_wet,pass_atRemoved,dep_et,dep_wet,dep_atRemoved,arr_at,pass_at,dep_at,cr_code,lr_code
202007058196580,WATRLMN,,08:36,,,08:36,,,,,,,,,false,,,08:35,,
202007058196580,VAUXHLM,,,,08:38,,,,,,,false,,,,,08:39,,,
202007058196580,CLPHMJM,,08:46,08:45,,08:46,,,false,,,,,,false,08:43,,08:46,,
202007058196580,ERLFLD,,,,08:48,,,,,08:47,,false,,,,,,,,
202007058196580,WDON,,,,08:52,,,,,,,false,,,,,08:50,,,
202007058196580,RAYNSPK,,,,08:53,,,,,08:51,,false,,,,,,,,
202007058196580,NEWMLDN,,,,08:55,,,,,,,false,,,,,08:53,,,
202007058196580,BRLANDS,,,,08:56,,,,,,,false,,,,,08:53,,,
202007058196580,SURBITN,,,,08:57,,,,,,,false,,,,,08:54,,,
202007058196580,HCRTJN,,,,08:58:30,,,,,,,false,,,,,08:55,,,
202007058196580,ESHER,,,,08:59,,,,,,,false,,,,,08:56,,,
202007058196580,HERSHAM,,,,09:00,,,,,,,false,,,,,08:58,,,
202007058196580,WONT,,,,09:01,,,,,,,false,,,,,08:58,,,
202007058196580,WEYBDGE,,,,09:03:30,,,,,,,false,,,,,09:01,,,
202007058196580,BYFLANH,,,,09:04,,,,,09:02,,false,,,,,,,,
202007058196580,WBYFLET,,,,09:05,,,,,,,false,,,,,09:03,,,
202007058196580,WOKING,09:08,09:09,09:08,,09:09:30,,,false,,,,,,false,09:07,,09:09,,
202007058196580,WOKINGJ,,,,09:10:30,,,,,,,false,,,,,09:09,,,
202007058196580,FRBRMN,,,,09:17,,,,,,,false,,,,,09:15,,,
202007058196580,FLEET,,,,09:19,,,,,,,false,,,,,09:18,,,
202007058196580,WNCFILD,,,,09:21,,,,,,,false,,,,,09:20,,,
202007058196580,HOOK,,,,09:23,,,,,,,false,,,,,09:21,,,
202007058196580,BSNGSTK,09:28,09:29,09:27:30,,09:29:30,,,false,,,,,,false,09:27,,09:29,,
202007058196580,WRTINGJ,,,,09:33,,,,,,,false,,,,,09:32,,,
202007058196580,MCHLDVR,,,,09:39,,,,,,,false,,,,,09:38,,,
202007058196580,WALRSAL,,,,09:41,,,,,,,false,,,,,09:39,,,
202007058196580,WNCHSTR,09:45,09:46,09:44:30,,09:46,,,false,,,,,,false,09:44,,09:45,,
202007058196580,SHAWFDJ,,,,09:49,,,,,,,false,,,,,09:48,,,
202007058196580,SHAWFD,,,,09:49:30,,,,,,,false,,,,,09:49,,,
202007058196580,ELGH,,,,09:52,,,,,,,false,,,,,09:51,,,
202007058196580,SOTPKWY,09:54,09:55,09:53:30,,09:55,,,false,,,,,,false,09:53,,09:54,,
202007058196580,SWYTHLN,,,,09:56,,,,,,,false,,,,,09:56,,,
202007058196580,STDENYS,,,,09:58,,,,,,,false,,,,,09:58,,,
202007058196580,NTHMJN,,,,09:59,,,,,,,false,,,,,09:59,,,
202007058196580,SOTON,10:02,10:03,10:01:30,,10:03:30,,,false,,,,,,false,10:01,,10:03,,
202007058196580,MBRKCLJ,,,,10:05:30,,,,,10:05,,false,,,,,,,,
202007058196580,REDBDGE,,,,10:07,,,,,,,false,,,,,10:06,,,
202007058196580,TOTTON,,,,10:07:30,,,,,,,false,,,,,10:07,,,
202007058196580,LYNDHRD,,,,10:10,,,,,,,false,,,,,10:10,,,
202007058196580,BLIEURD,,,,10:12,,,,,,,false,,,,,10:12,,,
202007058196580,BKNHRST,10:17,10:18,10:16:30,,10:18,,,false,,,,,,false,10:16,,10:17,,
202007058196580,SWAY,,,,10:20,,,,,,,false,,,,,10:21,,,
202007058196580,NMILTON,10:24,10:25,10:24,,10:25,,,false,,,,,,false,10:23,,10:24,,
202007058196580,HINTONA,,,,10:27,,,,,,,false,,,,,10:27,,,
202007058196580,CHRISTC,,,,10:30,,,,,,,false,,,,,10:30,,,
202007058196580,BOMO,10:35,10:39,10:34:30,,10:39,,,false,,,,,,false,10:35,,10:40,,
202007058196580,BRANKSM,10:44,10:44,10:43:30,,10:44,,,false,,,,,,false,10:44,,10:45,,
202007058196580,PSTONE,10:47,10:47,10:46:30,,10:47,,,false,,,,,,false,10:47,,10:48,,
202007058196580,POOLE,10:50,10:51,10:50,,10:51:30,,,false,,,,,,false,10:51,,10:52,,
202007058196580,HMWTHY,10:56,10:56,10:55:30,,10:56:30,,,false,,,,,,false,10:55,,10:57,,
202007058196580,HOLTONH,,,,10:59,,,,,,,false,,,,,11:00,,,
202007058196580,WARHAM,11:02,11:03,11:02,,11:03:30,,,false,,,,,,false,11:02,,11:03,,
202007058196580,WOOL,11:09,11:10,11:09,,11:10,,,false,,,,,,false,11:07,,11:09,,
202007058196580,MORETON,11:16,11:16,11:15:30,,11:16:30,,,false,,,,,,false,11:13,,11:14,,
202007058196580,DRCHS,11:23,11:24,11:23,,11:24:30,,,false,,,,,,false,11:21,,11:24,,
202007058196580,DRCHJN,,,,11:25:30,,,,,11:25,,false,,,,,,,,
202007058196580,UPWEY,11:31,11:31,11:30:30,,11:31,,,false,,,,,,false,11:30,,11:31,,
202007058196580,WEYMTH,11:35,,11:35,,,,,false,,,,,,,11:34,,,,
202007058196581,WATRLMN,,09:36,,,09:36,,,,,,,,,false,,,09:36,,
202007058196581,VAUXHLM,,,,09:38,,,,,,,false,,,,,09:39,,,
202007058196581,CLPHMJM,,09:46,09:45,,09:46,,,false,,,,,,false,09:44,,09:47,,
202007058196581,ERLFLD,,,,09:48,,,,,09:48,,false,,,,,,,,
202007058196581,WDON,,,,09:52,,,,,,,false,,,,,09:50,,,
202007058196581,RAYNSPK,,,,09:53,,,,,09:51,,false,,,,,,,,
202007058196581,NEWMLDN,,,,09:55:30,,,,,,,false,,,,,09:53,,,
202007058196581,BRLANDS,,,,09:56,,,,,,,false,,,,,09:53,,,
202007058196581,SURBITN,,,,09:57:30,,,,,,,false,,,,,09:54,,,
202007058196581,HCRTJN,,,,09:58:30,,,,,,,false,,,,,09:55,,,
202007058196581,ESHER,,,,09:59,,,,,,,false,,,,,09:55,,,
202007058196581,HERSHAM,,,,10:00,,,,,,,false,,,,,09:57,,,
202007058196581,WONT,,,,10:01,,,,,,,false,,,,,09:57,,,
202007058196581,WEYBDGE,,,,10:03:30,,,,,,,false,,,,,09:59,,,
202007058196581,BYFLANH,,,,10:04,,,,,09:59,,false,,,,,,,,
202007058196581,WBYFLET,,,,10:05,,,,,,,false,,,,,09:59,,,
202007058196581,WOKING,10:08,10:09,10:08,,10:09:30,,,false,,,,,,false,10:06,,10:08,,
202007058196581,WOKINGJ,,,,10:10:30,,,,,,,false,,,,,10:09,,,
202007058196581,FRBRMN,,,,10:17,,,,,,,false,,,,,10:15,,,
202007058196581,FLEET,,,,10:19,,,,,,,false,,,,,10:18,,,
202007058196581,WNCFILD,,,,10:21,,,,,,,false,,,,,10:19,,,
202007058196581,HOOK,,,,10:23,,,,,,,false,,,,,10:21,,,
202007058196581,BSNGSTK,10:28,10:29,10:27:30,,10:29:30,,,false,,,,,,false,10:27,,10:29,,
202007058196581,WRTINGJ,,,,10:33,,,,,,,false,,,,,10:31,,,
202007058196581,MCHLDVR,,,,10:39,,,,,,,false,,,,,10:37,,,
