rid,tpl,pta,ptd,wta,wtp,wtd,arr_et,arr_wet,arr_atRemoved,pass_et,pass_wet,pass_atRemoved,dep_et,dep_wet,dep_atRemoved,arr_at,pass_at,dep_at,cr_code,lr_code
202006077944607,WATRLMN,,15:35,,,15:35,,,,,,,,,false,,,15:34,,
202006077944607,VAUXHLM,,,,15:37,,,,,,,false,,,,,15:37,,,
202006077944607,CLPHMJM,,15:42,15:41:30,,15:42:30,,,false,,,,,,false,15:41,,15:43,,
202006077944607,ERLFLD,,,,15:46,,,,,15:47,,false,,,,,,,,
202006077944607,WDON,,,,15:50:30,,,,,,,false,,,,,15:47,,,
202006077944607,RAYNSPK,,,,15:52,,,,,15:49,,false,,,,,,,,
202006077944607,BRLANDS,,,,15:55,,,,,,,false,,,,,15:50,,,
202006077944607,SURBITN,,,,15:56,,,,,,,false,,,,,15:50,,,
202006077944607,HCRTJN,,,,15:57,,,,,,,false,,,,,15:51,,,
202006077944607,ESHER,,,,15:57:30,,,,,,,false,,,,,15:52,,,
202006077944607,HERSHAM,,,,15:58,,,,,,,false,,,,,15:53,,,
202006077944607,WONT,,,,15:59,,,,,,,false,,,,,15:54,,,
202006077944607,WEYBDGE,,,,16:01,,,,,,,false,,,,,15:55,,,
202006077944607,BYFLANH,,,,16:02,,,,,15:56,,false,,,,,,,,
202006077944607,WBYFLET,,,,16:03,,,,,,,false,,,,,15:56,,,
202006077944607,WOKING,16:06,16:07,16:05:30,,16:07:30,,,false,,,,,,false,16:03,,16:06,,
202006077944607,WOKINGJ,,,,16:08:30,,,,,,,false,,,,,16:07,,,
202006077944607,FRBRMN,,,,16:15,,,,,,,false,,,,,16:13,,,
202006077944607,FLEET,,,,16:17,,,,,,,false,,,,,16:16,,,
202006077944607,WNCFILD,,,,16:19,,,,,,,false,,,,,16:18,,,
202006077944607,HOOK,,,,16:21,,,,,,,false,,,,,16:19,,,
202006077944607,BSNGSTK,16:26,16:28,16:25:30,,16:28,,,false,,,,,,false,16:25,,16:27,,
202006077944607,WRTINGJ,,,,16:31:30,,,,,,,false,,,,,16:30,,,
202006077944607,MCHLDVR,,,,16:37,,,,,,,false,,,,,16:36,,,
202006077944607,WALRSAL,,,,16:39:30,,,,,,,false,,,,,16:37,,,
202006077944607,WNCHSTR,16:43,16:44,16:43,,16:44:30,,,false,,,,,,false,16:42,,16:43,,
202006077944607,SHAWFDJ,,,,16:47:30,,,,,,,false,,,,,16:46,,,
202006077944607,SHAWFD,,,,16:48,,,,,,,false,,,,,16:47,,,
202006077944607,ELGH,,,,16:50:30,,,,,,,false,,,,,16:49,,,
202006077944607,SOTPKWY,16:52,16:53,16:52,,16:53:30,,,false,,,,,,false,16:51,,16:52,,
202006077944607,SWYTHLN,,,,16:54,,,,,,,false,,,,,16:54,,,
202006077944607,STDENYS,,,,16:56:30,,,,,,,false,,,,,16:56,,,
202006077944607,NTHMJN,,,,16:57:30,,,,,,,false,,,,,16:57,,,
202006077944607,SOTON,17:00,17:03,17:00,,17:03,,,false,,,,,,false,16:59,,17:02,,
202006077944607,MBRKCLJ,,,,17:05,,,,,17:04,,false,,,,,,,,
202006077944607,REDBDGE,,,,17:06:30,,,,,,,false,,,,,17:06,,,
202006077944607,TOTTON,,,,17:07,,,,,,,false,,,,,17:07,,,
202006077944607,LYNDHRD,,,,17:09,,,,,,,false,,,,,17:10,,,
202006077944607,BLIEURD,,,,17:11,,,,,,,false,,,,,17:11,,,
202006077944607,BKNHRST,17:16,17:17,17:16,,17:17:30,,,false,,,,,,false,17:16,,17:17,,
202006077944607,SWAY,,,,17:20,,,,,,,false,,,,,17:21,,,
202006077944607,NMILTON,17:24,17:24,17:23:30,,17:24:30,,,false,,,,,,false,17:23,,17:28,,
202006077944607,HINTONA,,,,17:26,,,,,,,false,,,,,17:31,,,
202006077944607,CHRISTC,,,,17:30,,,,,,,false,,,,,17:34,,,
202006077944607,BOMO,17:34,17:39,17:34,,17:39,,,false,,,,,,false,17:39,,17:44,,
202006077944607,BRANKSM,17:44,17:44,17:43:30,,17:44,,,false,,,,,,false,17:49,,17:50,,
202006077944607,PSTONE,17:47,17:47,17:46:30,,17:47,,,false,,,,,,false,17:52,,17:53,,
202006077944607,POOLE,17:50,17:51,17:50,,17:51:30,,,false,,,,,,false,17:56,,17:58,,
202006077944607,HMWTHY,17:56,17:56,17:55:30,,17:56:30,,,false,,,,,,false,18:01,,18:03,,
202006077944607,HOLTONH,,,,17:59,,,,,,,false,,,,,18:06,,,
202006077944607,WARHAM,18:02,18:03,18:02,,18:03:30,,,false,,,,,,false,18:08,,18:09,,
202006077944607,WOOL,18:09,18:10,18:09,,18:10,,,false,,,,,,false,18:14,,18:15,,
202006077944607,MORETON,18:16,18:16,18:15:30,,18:16:30,,,false,,,,,,false,18:18,,18:19,,
202006077944607,DRCHS,18:23,18:24,18:23,,18:24:30,,,false,,,,,,false,18:27,,18:28,,
202006077944607,DRCHJN,,,,18:25:30,,,,,18:29,,false,,,,,,,,
202006077944607,UPWEY,18:31,18:31,18:30:30,,18:31,,,false,,,,,,false,18:34,,18:36,,
202006077944607,WEYMTH,18:35,,18:35,,,,,false,,,,,,,18:38,,,,
202006077944608,WATRLMN,,17:35,,,17:35,,,,,,,,,false,,,17:34,,
202006077944608,VAUXHLM,,,,17:37,,,,,,,false,,,,,17:37,,,
202006077944608,CLPHMJM,,17:42,17:41:30,,17:42:30,,,false,,,,,,false,17:41,,17:43,,
202006077944608,ERLFLD,,,,17:46,,,,,17:46,,false,,,,,,,,
202006077944608,WDON,,,,17:50:30,,,,,,,false,,,,,17:46,,,
202006077944608,RAYNSPK,,,,17:52,,,,,17:48,,false,,,,,,,,
202006077944608,BRLANDS,,,,17:55,,,,,,,false,,,,,17:49,,,
202006077944608,SURBITN,,,,17:56,,,,,,,false,,,,,17:49,,,
202006077944608,HCRTJN,,,,17:57,,,,,,,false,,,,,17:50,,,
202006077944608,ESHER,,,,17:57:30,,,,,,,false,,,,,17:51,,,
202006077944608,HERSHAM,,,,17:58,,,,,,,false,,,,,17:52,,,
202006077944608,WONT,,,,17:59,,,,,,,false,,,,,17:53,,,
202006077944608,WEYBDGE,,,,18:01,,,,,,,false,,,,,17:54,,,
202006077944608,BYFLANH,,,,18:02,,,,,17:55,,false,,,,,,,,
202006077944608,WBYFLET,,,,18:03,,,,,,,false,,,,,17:55,,,
202006077944608,WOKING,18:06,18:07,18:05:30,,18:07:30,,,false,,,,,,false,18:05,,18:06,,
202006077944608,WOKINGJ,,,,18:08:30,,,,,,,false,,,,,18:07,,,
202006077944608,FRBRMN,,,,18:15,,,,,,,false,,,,,18:13,,,
202006077944608,FLEET,,,,18:17,,,,,,,false,,,,,18:16,,,
202006077944608,WNCFILD,,,,18:19,,,,,,,false,,,,,18:18,,,
202006077944608,HOOK,,,,18:21,,,,,,,false,,,,,18:19,,,
202006077944608,BSNGSTK,18:26,18:28,18:25:30,,18:28,,,false,,,,,,false,18:25,,18:27,,
202006077944608,WRTINGJ,,,,18:31:30,,,,,,,false,,,,,18:30,,,
202006077944608,MCHLDVR,,,,18:37,,,,,,,false,,,,,18:36,,,
202006077944608,WALRSAL,,,,18:39:30,,,,,,,false,,,,,18:37,,,
202006077944608,WNCHSTR,18:43,18:44,18:43,,18:44:30,,,false,,,,,,false,18:41,,18:44,,
202006077944608,SHAWFDJ,,,,18:47:30,,,,,,,false,,,,,18:46,,,
202006077944608,SHAWFD,,,,18:48,,,,,,,false,,,,,18:47,,,
202006077944608,ELGH,,,,18:50:30,,,,,,,false,,,,,18:49,,,
202006077944608,SOTPKWY,18:52,18:53,18:52,,18:53:30,,,false,,,,,,false,18:51,,18:52,,
202006077944608,SWYTHLN,,,,18:54,,,,,,,false,,,,,18:54,,,
202006077944608,STDENYS,,,,18:56:30,,,,,,,false,,,,,18:56,,,
202006077944608,NTHMJN,,,,18:57:30,,,,,,,false,,,,,18:56,,,
202006077944608,SOTON,19:00,19:03,19:00,,19:03,,,false,,,,,,false,18:59,,19:02,,
202006077944608,MBRKCLJ,,,,19:05,,,,,19:04,,false,,,,,,,,
202006077944608,REDBDGE,,,,19:06:30,,,,,,,false,,,,,19:06,,,
202006077944608,TOTTON,,,,19:07,,,,,,,false,,,,,19:07,,,
202006077944608,LYNDHRD,,,,19:09,,,,,,,false,,,,,19:10,,,
202006077944608,BLIEURD,,,,19:11,,,,,,,false,,,,,19:12,,,
202006077944608,BKNHRST,19:16,19:17,19:16,,19:17:30,,,false,,,,,,false,19:16,,19:17,,
202006077944608,SWAY,,,,19:20,,,,,,,false,,,,,19:21,,,
202006077944608,NMILTON,19:24,19:24,19:23:30,,19:24:30,,,false,,,,,,false,19:24,,19:26,,
202006077944608,HINTONA,,,,19:26,,,,,,,false,,,,,19:29,,,
202006077944608,CHRISTC,,,,19:30,,,,,,,false,,,,,19:32,,,
202006077944608,BOMO,19:34,19:39,19:34,,19:39,,,false,,,,,,false,19:39,,19:44,,
202006077944608,BRANKSM,19:44,19:44,19:43:30,,19:44,,,false,,,,,,false,19:49,,19:50,,
202006077944608,PSTONE,19:47,19:47,19:46:30,,19:47,,,false,,,,,,false,19:53,,19:54,,
202006077944608,POOLE,19:50,19:51,19:50,,19:51:30,,,false,,,,,,false,19:57,,19:58,,
